Current,Source Measure,Volt Measure,Timestamp,Temperature
0.0,0.0,-0.694439,2025-04-10 14:38:03,-120.58
0.0022222222222222222,0.002222,2.18041,2025-04-10 14:38:05,-120.58
0.0044444444444444444,0.004444,2.26165,2025-04-10 14:38:08,-120.58
0.006666666666666666,0.006667,2.33151,2025-04-10 14:38:11,-120.58
0.008888888888888889,0.008889,2.39285,2025-04-10 14:38:13,-120.58
0.011111111111111112,0.01111,2.44696,2025-04-10 14:38:16,-120.58
0.013333333333333332,0.01333,2.49539,2025-04-10 14:38:18,-120.58
0.015555555555555555,0.01556,2.53885,2025-04-10 14:38:21,-120.58
0.017777777777777778,0.01778,2.57735,2025-04-10 14:38:23,-120.58
0.02,0.02,2.61228,2025-04-10 14:38:26,-120.58
