Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 14:16:49,1000,22.83,25.46
2025-02-27 14:16:50,1000,23.1,25.5
2025-02-27 14:16:51,1000,23.0,25.53
2025-02-27 14:16:53,985,23.03,25.43
2025-02-27 14:16:54,985,23.0,25.53
2025-02-27 14:16:55,985,22.89,25.5
2025-02-27 14:16:57,970,23.03,25.5
2025-02-27 14:16:58,970,23.06,25.43
2025-02-27 14:16:59,970,23.03,25.57
2025-02-27 14:17:01,955,23.03,25.5
2025-02-27 14:17:02,955,22.86,25.53
2025-02-27 14:17:03,955,22.93,25.4
