Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-26 16:51:15,1000,17.73,20.63
2025-02-26 16:51:16,1000,17.76,20.66
2025-02-26 16:51:18,1000,17.62,20.6
2025-02-26 16:51:35,500,7.28,18.27
2025-02-26 16:51:36,500,5.83,17.66
2025-02-26 16:51:37,500,4.18,17.15
2025-02-26 16:51:38,500,2.4,16.51
2025-02-26 16:51:39,500,0.59,15.97
2025-02-26 16:51:40,500,-0.99,15.5
2025-02-26 16:51:42,500,-2.6,14.89
2025-02-26 16:51:43,500,-4.28,14.39
2025-02-26 16:51:44,500,-5.65,13.85
2025-02-26 16:51:45,500,-7.13,13.37
2025-02-26 16:51:46,500,-8.63,12.87
2025-02-26 16:51:47,500,-10.14,12.33
2025-02-26 16:51:49,500,-11.35,11.86
2025-02-26 16:51:50,500,-12.58,11.45
2025-02-26 16:51:51,500,-13.85,10.95
2025-02-26 16:51:52,500,-15.26,10.51
2025-02-26 16:51:53,500,-16.36,10.07
2025-02-26 16:51:54,500,-17.3,9.57
2025-02-26 16:51:56,500,-18.27,9.16
2025-02-26 16:51:57,500,-19.53,8.66
2025-02-26 16:51:58,500,-20.67,8.25
2025-02-26 16:51:59,500,-21.94,7.75
2025-02-26 16:52:00,500,-23.14,7.31
2025-02-26 16:52:01,500,-24.37,6.98
2025-02-26 16:52:02,500,-25.74,6.54
2025-02-26 16:52:04,500,-26.87,5.97
2025-02-26 16:52:05,500,-28.03,5.56
2025-02-26 16:52:06,500,-29.27,5.13
2025-02-26 16:52:07,500,-30.46,4.69
2025-02-26 16:52:08,500,-31.53,4.25
2025-02-26 16:52:09,500,-32.69,3.75
2025-02-26 16:52:11,500,-33.82,3.34
2025-02-26 16:52:12,500,-34.95,2.97
2025-02-26 16:52:13,500,-36.08,2.47
2025-02-26 16:52:14,500,-37.21,2.1
2025-02-26 16:52:15,500,-38.2,1.63
2025-02-26 16:52:16,500,-39.4,1.16
2025-02-26 16:52:18,500,-40.33,0.79
2025-02-26 16:52:19,500,-41.42,0.32
