Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 15:08:03,1000,24.11,26.48
2025-02-27 15:08:04,1000,23.7,26.44
2025-02-27 15:08:05,1000,23.94,26.48
2025-02-27 15:08:06,1000,24.18,26.58
2025-02-27 15:08:07,980,24.01,26.58
2025-02-27 15:08:08,980,24.01,26.55
2025-02-27 15:08:09,980,24.01,26.55
2025-02-27 15:08:10,960,24.08,26.48
2025-02-27 15:08:11,960,24.08,26.51
2025-02-27 15:08:12,960,24.01,26.48
2025-02-27 15:08:13,940,23.84,26.55
2025-02-27 15:08:14,940,24.04,26.58
2025-02-27 15:08:15,940,24.21,26.55
2025-02-27 15:08:16,920,24.01,26.55
2025-02-27 15:08:17,920,24.18,26.41
2025-02-27 15:08:18,920,23.91,26.55
2025-02-27 15:08:19,900,24.14,26.48
2025-02-27 15:08:20,900,24.04,26.65
2025-02-27 15:08:21,900,23.94,26.44
2025-02-27 15:08:22,880,24.01,26.51
2025-02-27 15:08:23,880,24.21,26.48
2025-02-27 15:08:24,880,24.11,26.61
2025-02-27 15:08:25,860,23.94,26.58
2025-02-27 15:08:26,860,23.94,26.55
2025-02-27 15:08:27,860,24.08,26.55
2025-02-27 15:08:28,840,23.94,26.48
2025-02-27 15:08:29,840,23.91,26.58
2025-02-27 15:08:30,840,24.01,26.65
2025-02-27 15:08:31,820,24.04,26.55
2025-02-27 15:08:32,820,23.98,26.55
2025-02-27 15:08:33,820,24.11,26.55
2025-02-27 15:08:34,800,23.98,26.58
2025-02-27 15:08:35,800,23.94,26.58
2025-02-27 15:08:36,800,24.04,26.58
2025-02-27 15:08:37,780,24.01,26.61
2025-02-27 15:08:38,780,24.04,26.58
2025-02-27 15:08:39,780,24.14,26.58
2025-02-27 15:08:40,760,23.87,26.65
2025-02-27 15:08:41,760,23.91,26.55
2025-02-27 15:08:42,760,24.04,26.55
2025-02-27 15:08:43,740,23.98,26.55
2025-02-27 15:08:44,740,24.11,26.61
2025-02-27 15:08:45,740,24.04,26.55
2025-02-27 15:08:46,720,23.94,26.51
2025-02-27 15:08:47,720,23.94,26.41
2025-02-27 15:08:48,720,24.04,26.58
2025-02-27 15:08:49,700,24.04,26.55
2025-02-27 15:08:50,700,24.01,26.58
2025-02-27 15:08:51,700,24.14,26.58
2025-02-27 15:08:52,680,23.91,26.51
2025-02-27 15:08:53,680,24.01,26.51
2025-02-27 15:08:54,680,23.98,26.51
2025-02-27 15:08:55,660,24.01,26.51
2025-02-27 15:08:56,660,24.04,26.51
2025-02-27 15:08:57,660,23.94,26.58
2025-02-27 15:08:58,640,24.08,26.48
2025-02-27 15:08:59,640,23.94,26.58
2025-02-27 15:09:00,640,23.98,26.55
2025-02-27 15:09:01,620,23.98,26.61
2025-02-27 15:09:02,620,23.91,26.51
2025-02-27 15:09:03,620,24.01,26.58
2025-02-27 15:09:04,600,23.98,26.58
2025-02-27 15:09:05,600,24.04,26.58
2025-02-27 15:09:06,600,23.94,26.58
2025-02-27 15:09:07,580,23.98,26.51
2025-02-27 15:09:08,580,23.98,26.58
2025-02-27 15:09:09,580,23.91,26.55
2025-02-27 15:09:10,560,24.04,26.58
2025-02-27 15:09:11,560,24.04,26.61
2025-02-27 15:09:12,560,24.14,26.55
2025-02-27 15:09:13,540,23.94,26.44
2025-02-27 15:09:14,540,24.04,26.61
2025-02-27 15:09:15,540,23.84,26.51
2025-02-27 15:09:16,520,23.94,26.58
2025-02-27 15:09:17,520,24.21,26.61
2025-02-27 15:09:18,520,23.87,26.58
2025-02-27 15:09:19,520,23.84,26.61
2025-02-27 15:09:20,520,23.91,26.58
2025-02-27 15:09:21,500,23.94,26.51
2025-02-27 15:09:22,500,23.98,26.55
2025-02-27 15:09:23,500,23.91,26.55
2025-02-27 15:09:24,480,23.98,26.58
2025-02-27 15:09:25,480,23.81,26.58
2025-02-27 15:09:26,480,23.94,26.44
2025-02-27 15:09:27,460,24.04,26.51
2025-02-27 15:09:28,460,24.01,26.65
2025-02-27 15:09:29,460,23.87,26.48
2025-02-27 15:09:30,440,23.91,26.51
2025-02-27 15:09:31,440,23.91,26.65
2025-02-27 15:09:32,440,24.01,26.55
